customer_name,contact,booking_date,start_time,duration_hours,booking_type,companion_count,camera_requested,standard_price,price_adjustment,final_price,deposit_paid,status,notes
08/15 17:00-18:00,08/15 17:00-18:00,2026-08-15,17:00,1,SINGLE,1,FALSE,128,-20,108,54,CONFIRMED,原表：定金54，尾款54
08/15 18:00-19:00,08/15 18:00-19:00,2026-08-15,18:00,1,SINGLE,1,FALSE,128,4,132,44,CONFIRMED,原表：已收定金44，到店付88
08/16 14:00-16:00,08/16 14:00-16:00,2026-08-16,14:00,2,SINGLE,0,FALSE,150,40,190,95,CONFIRMED,原表：定金95
08/16 16:00-18:00,08/16 16:00-18:00,2026-08-16,16:00,2,DOUBLE,0,FALSE,280,0,280,140,CONFIRMED,原表：定金140
08/17 12:00-14:00,08/17 12:00-14:00,2026-08-17,12:00,2,SINGLE,1,FALSE,165,0,165,82.5,CONFIRMED,原表：定金82.5
08/17 14:00-16:00,08/17 14:00-16:00,2026-08-17,14:00,2,DOUBLE,0,FALSE,260,0,260,130,CONFIRMED,原表：已收定金130
08/17 16:00-18:00,08/17 16:00-18:00,2026-08-17,16:00,2,DOUBLE,0,FALSE,260,0,260,130,CONFIRMED,原表：定金130
08/17 19:00-20:00,08/17 19:00-20:00,2026-08-17,19:00,1,PRIVATE,0,FALSE,299,0,299,150,CONFIRMED,原表：已收定金150，尾款149
08/17 21:00-22:00,08/17 21:00-22:00,2026-08-17,21:00,1,SINGLE,1,FALSE,108,0,108,54,CONFIRMED,原表：定金54
08/18 16:00-17:00,08/18 16:00-17:00,2026-08-18,16:00,1,SINGLE,0,FALSE,78,0,78,39,CONFIRMED,原表：定金39；要买拍立得
08/18 18:00-20:00,08/18 18:00-20:00,2026-08-18,18:00,2,PRIVATE,0,FALSE,598,0,598,299,CONFIRMED,原表：定金299
08/19 19:00-21:00,08/19 19:00-21:00,2026-08-19,19:00,2,DOUBLE,2,FALSE,320,0,320,160,CONFIRMED,原表：已收定金160，尾款160
08/19 20:00-21:00,08/19 20:00-21:00,2026-08-19,20:00,1,DOUBLE,0,FALSE,135,0,135,67.5,CONFIRMED,原表：67.5；要买wide
08/20 14:00-15:00,08/20 14:00-15:00,2026-08-20,14:00,1,SINGLE,1,FALSE,108,0,108,54,CONFIRMED,原表：定金54
08/24 16:00-17:00,08/24 16:00-17:00,2026-08-24,16:00,1,DOUBLE,0,FALSE,135,0,135,67.5,CONFIRMED,原表：定金67.5
08/25 17:00-19:00,08/25 17:00-19:00,2026-08-25,17:00,2,SINGLE,1,FALSE,165,0,165,82.5,CONFIRMED,原表：定金82.5
08/31 19:00-20:00,08/31 19:00-20:00,2026-08-31,19:00,1,DOUBLE,0,FALSE,135,0,135,67.5,CONFIRMED,原表：已收定金67.5，到店67.5
